,model,family,size,tokens,flops,ifeval,bbh,math,mmlu-pro,gpqa,musr
153,smollm-135m,smollm,0.135,0.6,0.486,0.21,0.3,0.01,0.11,0.26,0.44
154,smollm-135m-instruct,smollm-instruct,0.135,0.6,0.486,0.16,0.29,0.0,0.12,0.26,0.37
155,smollm-360m,smollm,0.36,0.6,1.296,0.21,0.31,0.0,0.11,0.27,0.4
156,smollm-360m-instruct,smollm-instruct,0.36,0.6,1.296,0.2,0.29,0.0,0.12,0.26,0.35
162,starcoder2-15b,starcoder2,15.0,4.3,387.0,0.27,0.44,0.05,0.24,0.27,0.35
163,starcoder2-3b,starcoder2,3.0,3.3,59.4,0.2,0.35,0.01,0.16,0.24,0.34
164,starcoder2-7b,starcoder2,7.0,3.7,155.4,0.22,0.37,0.03,0.16,0.25,0.38
169,wizardlm-13b-v1.0,wizardlm-v1.0,13.0,2.0,156.0,0.19,0.29,0.0,0.12,0.26,0.35
170,wizardlm-70b-v1.0,wizardlm-v1.0,70.0,2.0,840.0,0.5,0.56,0.03,0.34,0.27,0.44
175,yi-1.5-34b,yi-1.5,34.0,3.5,714.0,0.28,0.6,0.14,0.47,0.37,0.42
176,yi-1.5-34b-chat,yi-1.5-chat,34.0,3.5,714.0,0.61,0.61,0.23,0.45,0.36,0.43
177,yi-1.5-6b,yi-1.5,6.0,3.5,126.0,0.26,0.45,0.06,0.31,0.31,0.44
178,yi-1.5-6b-chat,yi-1.5-chat,6.0,3.5,126.0,0.48,0.46,0.13,0.32,0.32,0.44
179,yi-1.5-9b,yi-1.5,9.0,3.5,189.0,0.29,0.51,0.1,0.39,0.38,0.43
180,yi-1.5-9b-chat,yi-1.5-chat,9.0,3.5,189.0,0.6,0.56,0.12,0.4,0.33,0.43
181,yi-34b,yi,34.0,3.0,612.0,0.3,0.55,0.04,0.44,0.37,0.41
184,yi-6b,yi,6.0,3.0,108.0,0.29,0.43,0.02,0.3,0.27,0.39
186,yi-6b-chat,yi-chat,6.0,3.0,108.0,0.34,0.41,0.01,0.31,0.29,0.37
187,yi-9b,yi,9.0,3.8,205.2,0.27,0.49,0.04,0.36,0.32,0.41
146,llama-3-8b-instruct,llama-3-instruct,8.0,15.0,720.0,0.24012841482821137,0.18388095615027525,0.004531722054380665,0.17747118794326236,0.021252796420581685,0.19936718749999996
369,gemma2-9b-it-simpo-infinity-preference,gemma2-it-simpo-infinity-preference,9.0,13.0,702.0,0.31763831079314,0.42190844059066157,0.0,0.3187610815602837,0.11968680089485462,0.08104947916666669
383,meta-llama-3-8bee,meta-llama-3-ee,8.0,15.0,720.0,0.19506575885317623,0.24199032699797488,0.04154078549848943,0.2466385933806146,0.08501118568232664,0.062424479166666665
517,fietje-2,fietje-2,2.7,1.4,22.680000000000003,0.20980332185268424,0.15603676192567875,0.00906344410876133,0.10950428486997636,0.0055928411633109736,0.05161979166666666
518,fietje-2-chat,fietje-2-chat,2.7,1.4,22.680000000000003,0.2917359273394593,0.17718965848323495,0.005287009063444109,0.1171690307328605,0.0,0.03195052083333334
519,fietje-2-instruct,fietje-2-instruct,2.7,1.4,22.680000000000003,0.2789963962286733,0.17572479808847588,0.005287009063444109,0.1226174645390071,0.0,0.029145833333333346
743,bio-medical-llama-3-8b,bio-medical-llama-3,8.0,15.0,720.0,0.44223659889094263,0.2619581129602818,0.07250755287009064,0.29419695626477543,0.11185682326621922,0.017578124999999993
762,qwen2-0.5b-abyme,qwen2-abyme,0.5,12.0,36.0,0.19151850423542868,0.022764835705971893,0.017371601208459216,0.03701241134751772,0.004474272930648763,0.0147734375
990,llama-3-8b-ita,llama-3-ita,8.0,15.0,720.0,0.753029738870641,0.28077745566893725,0.06268882175226587,0.3169141548463357,0.0738255033557047,0.116796875
992,llama-3.1-distilled,llama-3.1-distilled,8.0,15.0,720.0,0.7843787816327343,0.3084142128641545,0.1555891238670695,0.30906471631205673,0.07158836689038028,0.10126562499999997
1010,henbane-7b-attempt2,henbane-attempt2,7.0,7.0,294.0,0.4157335868828044,0.3086584945112166,0.2265861027190333,0.33639923167848695,0.05369127516778524,0.08701302083333334
1216,athena-gemma-2-2b-it,athena-gemma-2-it,9.0,13.0,702.0,0.3134172883504657,0.19417817674461513,0.033987915407854986,0.1579861111111111,0.02460850111856823,0.13348177083333332
1511,llama-3-groq-8b-tool-use,llama-3-groq-tool-use,8.0,15.0,720.0,0.6098230472922955,0.2725423438657323,0.0581570996978852,0.26658540189125296,0.02348993288590602,0.05387239583333336
1518,pantheon-rp-1.0-8b-llama-3,pantheon-rp-1.0-llama-3,8.0,15.0,720.0,0.39325212657969744,0.23631914688111305,0.057401812688821746,0.22964686761229317,0.03467561521252797,0.055049479166666665
1583,zephyr-7b-gemma-v0.1,zephyr-gemma-v0.1,7.0,6.0,252.0,0.3363741539116212,0.23751162749201274,0.0755287009063444,0.20526743498817968,0.059284116331096204,0.041794270833333334
1598,humanish-llama3-8b-instruct,humanish-llama3-instruct,8.0,15.0,720.0,0.6497903340913221,0.28012476599572,0.09592145015105742,0.30019946808510634,0.007829977628635318,0.020028645833333324
