,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
1583,zephyr-7b-gemma-v0.1,zephyr-gemma-v0.1,7.0,6.0,252.0,0.5844709897610921,0.8347938657637921,0.6068267869222415,0.5207310735270693,0.7419100236779795,0.45564821834723274,0.3363741539116212,0.23751162749201274,0.0755287009063444,0.20526743498817968,0.059284116331096204,0.041794270833333334
2448,llama-3-8b-instruct-v0.8,llama-3-instruct-v0.8,8.0,15.0,720.0,0.7167235494880546,0.8777136028679547,0.682991169221307,0.6389986056898658,0.7908445146014206,0.6846095526914329,0.7527549125209998,0.28270418759783483,0.07854984894259819,0.31700650118203305,0.0738255033557047,0.10924739583333334
2449,llama-3-8b-instruct-v0.9,llama-3-instruct-v0.9,8.0,15.0,720.0,0.7235494880546075,0.881696873132842,0.6810423906062162,0.6467478223824551,0.7995264404104183,0.6648976497346475,0.763046494412603,0.27903013285410183,0.0755287009063444,0.3161753841607564,0.07718120805369126,0.09850260416666666
2672,luminia-13b-v3,luminia-v3,13.0,2.0,156.0,0.5247440273037542,0.7608046205935072,0.536020812263416,0.4373610781301898,0.7261247040252566,0.04245640636846096,0.25231829323971505,0.17690523920374848,0.013595166163141994,0.13499187352245862,0.026845637583892648,0.08891666666666667
2782,hermes-2-pro-llama-3-8b,hermes-2-pro-llama-3,8.0,15.0,720.0,0.6348122866894198,0.8322047400916152,0.6479850156958107,0.5656013468112259,0.7640094711917916,0.6793025018953753,0.5361839918084017,0.30667993420825,0.06193353474320242,0.22798463356973994,0.057046979865771785,0.11246614583333335
2784,hermes-2-theta-llama-3-8b,hermes-2-theta-llama-3,8.0,15.0,720.0,0.6313993174061433,0.8256323441545509,0.6651191133673278,0.5574103812875774,0.7655880031570639,0.7073540561031083,0.6517883659800441,0.32046073848075834,0.09592145015105741,0.26316858747044913,0.07158836689038028,0.08361979166666669
4122,einstein-v6.1-llama3-8b,einstein-v6.1-llama3,8.0,15.0,720.0,0.6245733788395904,0.8241386178052181,0.6618688535137978,0.5510255717182386,0.7932123125493291,0.6611068991660347,0.45682455883721856,0.2938377348658535,0.0649546827794562,0.23675753546099287,0.04250559284116329,0.1122682291666667
4807,gemma-2b-orpo,gemma-orpo,2.0,6.0,72.0,0.49146757679180886,0.7372037442740491,0.38522806096222245,0.4453468253241183,0.6432517758484608,0.13874147081122062,0.24779695651981185,0.0794944502776896,0.012839879154078549,0.03396498226950354,0.015659955257270708,0.04128385416666667
5361,dolphin-2.9-llama3-8b,dolphin-2.9-llama3,8.0,15.0,720.0,0.5870307167235495,0.8055168293168691,0.6104002830421494,0.5566874852050564,0.7458563535911602,0.6444275966641395,0.38503393218881454,0.27858929260905124,0.055891238670694864,0.1967715721040189,0.04921700223713646,0.13791406250000005
6995,qwen-las-v0.1,qwen-las-v0.1,4.0,2.4,57.6,0.4641638225255973,0.6909978092013543,0.5328670202021167,0.4734814270829339,0.632991318074191,0.04700530705079606,0.3301041237250495,0.14698639898107368,0.02265861027190333,0.14727393617021275,0.0,0.0366171875
7001,qwen1.5-7b-chat-sa-v0.1,qwen1.5-chat-sa-v0.1,7.0,4.0,168.0,0.5435153583617748,0.7679745070703047,0.6130907244018474,0.5016672680458616,0.697711128650355,0.19863532979529946,0.4267742922113326,0.20302342129934098,0.030211480362537766,0.2214280437352246,0.08277404921700222,0.030598958333333325
7073,suzume-llama-3-8b-multilingual,suzume-llama-3-multilingual,8.0,15.0,720.0,0.6075085324232082,0.7948615813582953,0.666158414148644,0.48701349926756854,0.7616416732438832,0.6156178923426838,0.6678003253589365,0.2889509203723778,0.08836858006042295,0.26483082151300236,0.044742729306487705,0.07844270833333336
7532,orpollama-3-8b,orpollama-3,8.0,15.0,720.0,0.591296928327645,0.8241386178052181,0.6576439370548328,0.5239701912128801,0.7829518547750592,0.45943896891584535,0.36527524745453177,0.2195410762879941,0.04531722054380666,0.18947621158392433,0.039149888143176735,0.04008854166666667
7944,openchat-3.6-8b-20240522,openchat-3.6-20240522,8.0,15.0,720.0,0.6245733788395904,0.8086038637721571,0.6655794977263308,0.48423292908023485,0.7876874506708761,0.7179681576952237,0.5343355629729118,0.3323293691836929,0.08308157099697885,0.24765440307328607,0.09060402684563762,0.08181770833333334
8752,llamantino-3-anita-8b-inst-dpo-ita,llamantino-3-anita-inst-dpo-ita,8.0,15.0,720.0,0.7457337883959044,0.927504481179048,0.668498558453034,0.7592807034986255,0.8200473559589583,0.5860500379075056,0.4815046299374548,0.27990827697552745,0.04380664652567976,0.3026004728132387,0.06487695749440718,0.13242447916666664
8989,configurable-hermes-2-pro-llama-3-8b,configurable-hermes-2-pro-llama-3,8.0,15.0,720.0,0.6382252559726962,0.8348934475204143,0.6522610479317345,0.6250621031182334,0.771112865035517,0.6846095526914329,0.5762510139762497,0.30509624748954783,0.06344410876132932,0.2330636820330969,0.06263982102908276,0.10062239583333334
