,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
79,open_llama_3b,open_llama_,3.0,1.0,18.0,0.3984641638225256,0.6264688309101772,0.2693628703589735,0.3496513582465124,0.6471981057616417,0.0045489006823351
80,open_llama_3b_v2,open_llama__v2,3.0,1.0,18.0,0.4027303754266211,0.7159928301135232,0.2711798101137326,0.3477745324693538,0.67008681925809,0.0090978013646702
81,open_llama_7b,open_llama_,7.0,1.0,42.0,0.470136518771331,0.7197769368651663,0.3049340814990708,0.3484730707265278,0.6795580110497238,0.0159211523881728
82,open_llama_7b_v2,open_llama__v2,7.0,1.0,42.0,0.4368600682593856,0.7219677355108544,0.4129397385957056,0.3553921542940895,0.6937647987371744,0.0348749052312357
83,openhermes-13b,openhermes,13.0,2.0,156.0,0.5981000000000001,0.8223999999999999,0.5635,0.4600999999999999,0.7545000000000001,0.1159999999999999
84,openhermes-7b,openhermes,7.0,2.0,84.0,0.5614,0.7831999999999999,0.4861999999999999,0.45,0.7451000000000001,0.05
85,opt-1.3b,opt,1.3,0.18,1.404,0.295221843003413,0.545309699263095,0.2496304582561669,0.387106757904831,0.5974743488555643,0.001516300227445
86,opt-125m,opt,0.125,0.18,0.135,0.2286689419795221,0.3146783509261103,0.2601558755564414,0.4286875802615585,0.516179952644041,0.0007581501137225
87,opt-13b,opt,13.0,0.18,14.04,0.3993174061433447,0.7120095598486357,0.2489566224323808,0.3409583991059122,0.6850828729281768,0.0174374526156178
88,opt-2.7b,opt,2.7,0.18,2.9160000000000004,0.3395904436860068,0.6143198566022705,0.2543197294843227,0.3742541799029018,0.6195737963693765,0.0022744503411675
89,opt-30b,opt,30.0,0.18,32.4,0.4325938566552901,0.7406891057558256,0.2665873003529109,0.351638262847476,0.7063930544593529,0.0219863532979529
90,opt-350m,opt,0.35,0.18,0.3779999999999999,0.2354948805460751,0.367257518422625,0.2602309674346793,0.4082853277784469,0.526440410418311,0.00303260045489
91,opt-6.7b,opt,6.7,0.18,7.236000000000001,0.3916382252559727,0.6866162119099781,0.2456740659904941,0.3512214978869498,0.65982636148382,0.0098559514783927
92,opt-66b,opt,66.0,0.18,71.28,0.4633105802047781,0.7624975104560845,0.2699300206480994,0.3542965595297838,0.7000789265982637,0.0166793025018953
93,orca-2-13b,orca-2,13.0,2.0,156.0,0.6092,0.7985,0.603,0.5642,0.7656000000000001,0.3782999999999999
94,orca-2-7b,orca-2,7.0,2.0,84.0,0.541,0.7619,0.5637,0.5245000000000001,0.7348,0.1471
95,orca_mini_v3_13b,orca_mini_v3_,13.0,2.0,156.0,0.6314,0.8234999999999999,0.5652,0.5181,0.7648,0.1311999999999999
97,orca_mini_v3_7b,orca_mini_v3_,7.0,2.0,84.0,0.5690999999999999,0.7964,0.5236999999999999,0.5051,0.7426999999999999,0.0713
100,phi-1_5,phi-1_5,1.3,0.15,1.1700000000000002,0.5290102389078498,0.6379207329217288,0.4388646778419788,0.4088993856119402,0.7221783741120757,0.1243366186504928
101,phi-2,phi-2,2.7,1.4,22.680000000000003,0.6100682593856656,0.7491535550687114,0.5792026667108577,0.4423687837225679,0.7348066298342542,0.5496588324488249
