,model,base_model,family,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
5470,rhea-72b-v0.4,,rhea-v0.4,0.7849829351535837,0.9074885480979884,0.7801191280035193,0.7390921071450984,0.8674033149171271,0.7862016679302503,,,,,,
5471,rhea-72b-v0.5,rhea-72b-v0.5,rhea-v0.5,0.7977815699658702,0.911471818362876,0.7795247822278264,0.7450090367696568,0.8784530386740331,0.7611827141774071,0.014538092261865185,0.03670747300283603,0.06722054380664653,0.018450797872340413,0.0033557046979865533,0.11316927083333334
5472,nox-solar-10.7b-v4,nox-solar-10.7b-v4,nox-solar-v4,,,,,,,0.37534187068090447,0.26631088145699616,0.0067975830815709985,0.259197695035461,0.07606263982102905,0.12563802083333334
5473,cria-llama2-7b-v1.3,,cria-llama2-v1.3,0.5273037542662116,0.7857996415056762,0.4829751697982049,0.4558320321123706,0.7190213101815311,0.08491281273692192,,,,,,
5474,cria-llama2-7b-v1.3_peft,,cria-llama2-v1.3_peft,0.514505119453925,0.773451503684525,0.4646977405132432,0.4551798457212092,0.7079715864246251,0.06747536012130402,,,,,,
5475,frankencria-llama2-11b-v1.3-m.1,,frankencria-llama2-v1.3-m.1,0.5281569965870307,0.77504481179048,0.48002313979598027,0.46868611616690686,0.7158642462509865,0.15011372251705837,,,,,,
5476,frankencria-llama2-12.5b-v1.3-m.2,,frankencria-llama2-v1.3-m.2,0.5503412969283277,0.7916749651463851,0.46159848811306536,0.5030678363563933,0.7024467245461721,0.03411675511751327,,,,,,
5477,maidstarling-2x7b-base,,maidstarling-2x-base,0.6843003412969283,0.8627763393746267,0.6516721731483489,0.603441623004599,0.7892659826361483,0.6542835481425322,,,,,,
5478,mistarlingmaid-2x7b-base,,mistarlingmaid-2x-base,0.6749146757679181,0.8476399123680541,0.6262431968281624,0.589307745965302,0.7821625887924231,0.5602729340409401,,,,,,
5479,starlingmaid-2x7b-base,,starlingmaid-2x-base,0.6715017064846417,0.8500298745269866,0.6536196602740493,0.5798150848332794,0.797947908445146,0.6588324488248674,,,,,,
5480,pluto_24b_dpo_63,,pluto_dpo_63,0.7397610921501706,0.881696873132842,0.644880483578691,0.7936098015130929,0.8168902920284136,0.6611068991660347,,,,,,
5481,zephyr-7b-dpo-qlora,,zephyr-dpo-qlora,0.6382252559726962,0.8492332204740092,0.6228196411004859,0.4402682656740883,0.7861089187056038,0.33965125094768767,,,,,,
