,model,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
250,Aryanne/sheared-plus-westlake-nearest-50_75p,0.36177474402730375,0.5753833897629954,0.24200043247759087,0.42389100856287276,0.5674822415153907,0.0
251,Aryanne/sheared-plus-westlake-normal,0.39761092150170646,0.7033459470225055,0.2681186954813067,0.46502873385230303,0.6353591160220995,0.0
252,Aryanne/sheared-silicon10p,0.36177474402730375,0.5111531567416849,0.25564603557317367,0.44852499686717784,0.5722178374112076,0.0
253,Aspik101/30B-Lazarus-instruct-PL-lora_unload,0.6279863481228669,0.8412666799442341,0.5687053542785125,0.5548664382108782,0.7908445146014206,0.11372251705837756
254,Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,0.537542662116041,0.7834096793467437,0.46795807371253173,0.4233509050021775,0.739542225730071,0.0621683093252464
255,Aspik101/Nous-Hermes-13b-pl-lora_unload,0.5708191126279863,0.8148775144393547,0.49168103134872576,0.48298508458959055,0.7640094711917916,0.09249431387414708
256,Aspik101/Redmond-Puffin-13B-instruct-PL-lora_unload,0.6092150170648464,0.8243377813184626,0.5560984705428461,0.442588726154725,0.7569060773480661,0.11068991660348751
257,Aspik101/StableBeluga-13B-instruct-PL-lora_unload,0.6092150170648464,0.8212507468631746,0.5698560850032657,0.48640052440283216,0.7655880031570639,0.12206216830932524
258,Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,0.6245733788395904,0.8365863373829915,0.5781547569689696,0.5093604617863396,0.7837411207576953,0.15314632297194844
259,Aspik101/WizardVicuna-Uncensored-3B-instruct-PL-lora_unload,0.4197952218430034,0.6681935869348734,0.25688050926016387,0.3967433686221302,0.648776637726914,0.006823351023502654
260,Aspik101/llama-30b-2048-instruct-PL-lora_unload,0.6382252559726962,0.847042421828321,0.6148938164940237,0.5248913475114358,0.797947908445146,0.17892342683851403
261,Aspik101/llama-30b-instruct-2048-PL-lora,0.6331058020477816,0.8466440948018323,0.6165636929630124,0.5334841941567381,0.7908445146014206,0.1683093252463988
262,Aspik101/trurl-2-13b-pl-instruct_unload,0.5989761092150171,0.7999402509460267,0.7865657803785759,0.4556260164510823,0.7434885556432518,0.12206216830932524
263,Aspik101/trurl-2-7b-pl-instruct_unload,0.5315699658703071,0.7463652658832902,0.4988667628221591,0.45738711273497956,0.7229676400947119,0.07429871114480667
264,Aspik101/tulu-7b-instruct-pl-lora_unload,0.28668941979522183,0.2605058753236407,0.23116857555371026,0.4861440174347976,0.48224151539068666,0.0
265,Aspik101/vicuna-13b-v1.5-PL-lora_unload,0.5691126279863481,0.8121888070105556,0.5606288513285408,0.4975967850195183,0.7521704814522494,0.12282031842304778
266,Aspik101/vicuna-7b-v1.3-instruct-pl-lora_unload,0.4803754266211604,0.7627962557259509,0.47415869555889467,0.4439749006032412,0.7008681925808997,0.0621683093252464
267,AtAndDev/CapybaraMarcoroni-7B,0.6501706484641638,0.8481378211511651,0.6520278522151222,0.5706929434240026,0.8113654301499605,0.6868840030326004
268,AtAndDev/Ogno-Monarch-Neurotic-7B-Dare-Ties,0.7320819112627988,0.8898625771758614,0.645826123271991,0.7752615277046644,0.845303867403315,0.6906747536012131
269,AtAndDev/Ogno-Monarch-Neurotic-9B-Passthrough,0.46245733788395904,0.5606452897829117,0.6292192990289779,0.5102578228172799,0.7277032359905288,0.0
270,AtAndDev/ShortKing-3b-v0.3,0.40955631399317405,0.7072296355307708,0.26207859845046455,0.3877758221836436,0.6692975532754538,0.012130401819560273
